rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
63,002984.SZ,森麒麟,14.35,146.2,15.0,1.02,34.2,0.31,10.0,20.7,4.9,0.025,False
64,600801.SH,华新建材,24.02,490.4,15.1,3.68,28.2,0.52,10.2,31.2,16.05,0.025,True
65,600021.SH,上海电力,13.77,381.8,15.2,1.94,24.4,0.83,9.2,24.9,34.49,0.025,True
66,600415.SH,小商品城,12.21,674.5,15.4,1.63,19.0,0.8,17.9,31.2,16.5,0.025,True
67,603233.SH,大参林,18.48,197.7,15.4,2.08,17.7,0.86,16.5,34.6,22.31,0.025,True
68,601966.SH,玲珑轮胎,11.33,160.8,15.4,0.77,37.8,0.27,7.6,17.5,17.92,0.025,False
69,002545.SZ,东方铁塔,17.67,217.2,15.5,3.7,37.0,0.51,14.4,41.0,10.61,0.025,True
70,002895.SZ,川恒股份,32.79,200.0,15.6,3.18,19.6,0.7,18.1,29.1,4.72,0.025,True
71,000065.SZ,北方国际,10.1,115.9,15.7,0.88,23.6,0.71,7.6,15.2,9.15,0.025,False
72,601330.SH,绿色动力,7.09,100.3,15.7,1.81,21.8,0.84,8.3,47.8,18.36,0.025,True
73,603486.SH,科沃斯,54.37,318.5,15.7,0.92,23.1,0.78,19.5,47.8,7.64,0.025,True
74,600116.SH,三峡水利,6.33,120.7,15.8,1.19,39.9,0.92,5.2,12.7,9.19,0.025,False
75,600166.SH,福田汽车,2.9,225.6,15.8,,51.0,0.29,11.7,10.0,5.72,0.025,False
76,601225.SH,陕西煤业,26.52,2569.2,15.9,4.16,22.7,0.98,17.4,28.2,15.28,0.025,True
77,600216.SH,浙江医药,13.12,120.7,16.1,1.96,21.1,0.72,8.8,32.5,12.55,0.025,True
78,002602.SZ,世纪华通,14.06,1016.4,16.2,,60.0,0.29,22.9,70.6,8.99,0.025,True
79,600258.SH,首旅酒店,12.41,135.9,16.2,1.46,16.3,0.95,7.2,40.5,24.4,0.025,True
80,000729.SZ,燕京啤酒,11.48,321.3,16.3,1.02,22.5,0.81,11.7,44.5,7.79,0.025,True
81,002517.SZ,恺英网络,16.66,353.6,16.3,0.85,40.7,0.49,21.9,80.2,6.42,0.025,True
82,600221.SH,海航控股,1.33,561.8,16.4,0.0,8.1,0.76,29.0,8.1,30.63,0.025,False
