rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
154,000700.SZ,模塑科技,11.68,101.0,20.0,2.44,24.4,0.76,13.6,18.4,9.11,0.025,False
155,603885.SH,吉祥航空,10.52,229.3,20.2,0.71,-20.2,0.84,7.7,13.2,34.25,0.025,False
156,600348.SH,华阳股份,9.51,323.2,20.3,5.81,47.1,0.41,6.8,40.9,9.83,0.025,True
157,601886.SH,江河集团,13.32,147.1,20.3,2.84,46.1,0.53,11.6,17.5,13.0,0.025,False
158,688169.SH,石头科技,130.6,341.5,20.4,0.64,47.8,0.46,13.0,42.0,1.38,0.025,True
159,600872.SH,中炬高新,18.31,142.9,20.6,1.71,30.7,0.92,12.0,41.1,6.03,0.025,True
160,600031.SH,三一重工,19.06,1734.2,20.6,1.55,27.3,0.6,10.8,27.7,10.98,0.025,True
161,300750.SZ,宁德时代,373.0,17535.0,20.6,1.11,33.6,0.61,22.3,26.2,7.49,0.025,True
162,000338.SZ,潍柴动力,26.99,2335.5,20.7,1.7,32.7,0.57,13.6,21.3,12.48,0.025,False
163,301035.SZ,润丰股份,57.16,205.8,20.8,1.17,22.4,0.72,15.1,23.6,8.14,0.025,True
164,603606.SH,东方电缆,34.24,283.5,20.8,0.77,21.8,0.79,16.4,22.2,3.54,0.025,True
165,689009.SH,九号公司-WD,43.95,317.5,20.8,15.44,10.4,0.72,23.4,28.6,8.46,0.025,True
166,301665.SZ,泰禾股份,25.12,108.9,20.9,1.01,20.0,0.95,13.4,27.3,9.11,0.025,True
167,002130.SZ,沃尔核材,17.23,240.8,20.9,0.79,34.2,0.48,15.1,31.2,4.8,0.025,True
168,001221.SZ,悍高集团,38.25,153.4,21.0,0.61,17.5,0.95,23.1,36.5,5.51,0.025,True
169,601958.SH,金钼股份,23.39,743.7,21.2,2.47,27.6,0.85,17.5,41.2,3.11,0.025,True
170,688036.SH,传音控股,57.73,665.6,21.2,1.77,37.4,0.52,15.5,20.5,41.65,0.025,False
171,002541.SZ,鸿路钢构,19.86,136.9,21.3,1.55,44.1,0.47,8.3,9.9,4.84,0.025,False
172,002340.SZ,格林美,6.65,339.8,21.4,0.84,20.6,0.64,8.2,15.9,10.35,0.025,False
173,600621.SH,华鑫股份,13.52,140.4,21.5,0.69,31.8,0.79,8.3,58.1,49.22,0.025,True
174,600352.SH,浙江龙盛,12.81,409.3,21.5,2.22,53.5,0.46,8.3,31.5,8.96,0.025,True
175,600699.SH,均胜电子,19.2,294.3,21.5,1.23,34.8,0.62,10.2,18.3,18.08,0.025,False
